               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.045241,            0.016381,                   0,                   1,             0.89844,             0.97162,             0.36065,            0.042805,           0.0076437,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.036373,             0.01622,                   0,             0.65788,                0.75,             0.77574,             0.30759,            0.048162,           0.0072055,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.046715,            0.013581,                   0,                   1,             0.68103,              0.9048,              0.5848,            0.039199,           0.0068512,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.040736,            0.014098,                   0,              0.5473,                0.95,             0.71016,             0.32455,            0.043532,           0.0067039,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.042595,            0.014283,                   0,             0.99212,                   1,               0.995,             0.25124,            0.049258,           0.0063462,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.036446,             0.01369,                   0,             0.59759,             0.89126,             0.77597,             0.37461,            0.041093,           0.0063753,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.041745,            0.013358,                   0,             0.95219,             0.99606,             0.98786,             0.69705,            0.028593,           0.0062246,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.036658,            0.014589,                   0,             0.93478,             0.71731,              0.9135,             0.48627,            0.039041,           0.0057964,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.037704,            0.012068,                   0,             0.94922,                   1,             0.98548,             0.65895,            0.028107,           0.0058198,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.029232,            0.012742,                   0,             0.58607,             0.84954,             0.66607,             0.39663,            0.036507,           0.0057535,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.041202,            0.010406,                   0,             0.67949,              0.8481,             0.86932,             0.56068,            0.031903,           0.0056658,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.036242,            0.011244,                   0,             0.50967,             0.98771,             0.72581,             0.33416,              0.0387,           0.0055246,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.037354,            0.010412,                   0,             0.89953,              0.8955,             0.96853,             0.57536,            0.029578,           0.0054374,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.029956,            0.012957,                   0,             0.89761,                   1,             0.98328,             0.52393,            0.040306,           0.0052457,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.047525,            0.010209,                   0,             0.94101,                   1,             0.99024,             0.54907,            0.033035,           0.0053463,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.03467,           0.0099098,                   0,             0.80191,                0.85,             0.88404,              0.4885,            0.031106,            0.005147,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.033151,            0.011751,                   0,             0.99196,                 0.9,              0.9819,              0.6114,            0.027842,           0.0051355,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.028328,            0.010062,                   0,             0.76747,                0.85,             0.91151,             0.51781,            0.037973,           0.0049472,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.036877,           0.0086746,                   0,              0.8534,                0.95,             0.95914,             0.69508,            0.029352,           0.0049124,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.032555,           0.0097342,                   0,             0.89365,                0.95,             0.96875,             0.61368,            0.028932,            0.004807,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.033703,           0.0087777,                   0,             0.90733,                   1,             0.97795,             0.54637,            0.030863,           0.0048304,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.033721,           0.0094861,                   0,             0.94994,                   1,             0.99024,              0.5662,            0.036661,           0.0047512,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.039817,           0.0093516,                   0,             0.94956,             0.94161,             0.97704,             0.61698,            0.028836,           0.0048285,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.033788,           0.0088715,                   0,             0.95177,             0.98707,             0.99024,             0.70825,            0.028983,           0.0046463,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.031663,           0.0089435,                   0,             0.95236,             0.99965,             0.97595,             0.53819,             0.02828,           0.0046973,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.025498,           0.0088017,                   0,             0.78076,             0.89066,             0.92463,             0.46809,             0.04024,           0.0045214,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.042896,           0.0081944,                   0,             0.95193,                   1,              0.9831,             0.72711,            0.023854,           0.0047054,                   0,            0.007921,            0.007921,            0.007921
